Words,Labels
['!'],['O']
"['You', 'are', 'fit', 'to', 'direct', 'this', 'movie', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
"['I', 'will', 'for', 'sure', 'watch', 'this', '👍', '😂', '😂', '🔥', 'oh', 'my', 'yfybugtdybg', 'i', 'live', 'in', 'the', 'nederlands', 'but', 'not', 'in', 'amsterdam', '😂', '😂', '😂', '""', 'Just', 'casually', 'eating', 'twizzlers', '""', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O']"
"['Lol', 'that', ""'"", 's', 'me', '*', 'YEAH', 'YEAH', 'YEAH', 'YEAH', '*', 'love', 'that', 'song', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['first', 'time', 'I', ""'"", 've', 'heard', 'it', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Miranda', 'Lambert', ',', 'you', 'are', 'so', 'f', '*', 'ing', 'talented', 'and', 'so', 'amazing', '!']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['So', 'blessed', 'to', 'have', 'you', '!']","['O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'song', 'is', 'so', 'heartbreaking', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['gut', 'wrenching', '.']","['O', 'O', 'O']"
"['Thanks', 'I', 'love', 'seeing', 'the', 'change', 'in', 'Sarah', 'when', 'she', 'works', 'out', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']"
"['Before', 'hand', 'she', 'is', 'so', 'sweet', 'and', 'smiley', 'then', 'she', 'goes', 'into', 'the', 'workout', 'and', 'you', 'just', 'see', 'that', 'dead', 'serious', 'lazer', 'focus', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['She', 'inspires', 'me', 'everyday', 'x', 'Is', 'that', '""', 'prick', '""', 'they', 'keep', 'saying', 'an', 'Uncharted', '4', 'enemy', 'reference', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O']"
"['Lmao', 'Ripley', 'and', 'Bishop', 'back', 'at', 'it', 'again', '!']","['O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']"
"['Was', 'mason', 'playing', 'catcher', 'the', '3', 'rd', 'game', '30', ',', '000', 'TNT', 'v', '.']","['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['s', '.']","['O', 'O']"
"['300', 'Cheese', 'Looks', 'awfully', 'weird', 'and', 'it', ""'"", 's', 'not', 'break', 'imo', 'Skhumba', 'my', 'brother', 'we', 'will', 'miss', 'your', 'jokes', ',', 'You', 'are', 'the', 'best', 'comedian', 'in', 'Mzansi', 'I', 'tell', 'you', 'now', 'and', 'good', 'luck', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mara', 'Kgomotso', 'o', 'na', 'le', 'that', '""', 'THING', '""', '.']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['came', 'third', ':', 'D', 'thats', 'not', 'break', 'dancinG', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
['!'],['O']
"['thats', 'just', 'flexing', 'his', 'body', '-', '_', '-', '31', ':', '12', 'Cue', 'The', 'Lonely', 'Island', 'this', 'just', 'feels', 'like', 'a', 'watered', 'down', 'version', 'of', 'jackbox', 'Lena', 'Dunham', 'directed', 'this', 'right', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'I-group', 'I-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'B-person', 'I-person', 'O', 'O', 'O', 'O']"
['?'],['O']
"['freaking', 'sweet', '!']","['O', 'O', 'O']"
"['did', 'n', ""'"", 't', 'she', 'rape', 'her', 'sister', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['cool', '.']","['O', 'O']"
"['enjoy', 'your', 'pedo', 'pop', 'Booing', 'Roger', 'Goodell', 'is', 'the', 'worst', 'tradition', 'in', 'sports', 'history', '.']","['O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', 'just', 'has', 'no', 'point', 'at', 'all', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Nintendo', 'plus', 'is', 'not', 'a', 'thing', ',', 'at', 'least', 'not', 'as', 'it', 'is', 'shown', 'in', 'this', 'video', '.']","['B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Crazy', 'Skills', 'Very', 'Nice', '.']","['O', 'O', 'O', 'O', 'O']"
['.'],['O']
"['If', 'They', 'Make', 'another', 'Hitman', 'Movie', 'You', 'have', 'my', 'vote', 'for', 'the', 'lead', '.']","['O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['role', '.']","['O', 'O']"
['.'],['O']
"['I', 'really', 'want', 'she', 'to', 'tell', 'brad', 'that', 'she', 'is', 'pregnant', 'could', 'you', 'make', 'Boo', 'from', 'monster', 'Inc', ':', ')', 'I', 'am', 'not', 'an', 'atheist', 'I', 'believe', 'in', 'god', 'but', 'these', 'comments', 'are', 'funny', 'this', 'song', 'has', 'nothing', 'to', 'do', 'with', 'god', 'it', 'has', 'to', 'do', 'with', 'finding', 'you', 'Welp', 'that', ""'"", 's', 'that', 'then', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Ryan', 'does', 'words', 'good', '.']","['B-person', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['Gosh', 'goosebumps', 'all', 'over', 'my', 'body', 'the', 'moment', 'he', 'starts', 'playing', 'xD', 'is', 'it', 'just', 'me', 'or', 'is', 'mickey', 'mouse', ""'"", 's', 'voice', 'scary', 'My', 'WiFi', 'name', 'for', 'a', 'long', 'time', 'was', 'getoffmyWiFi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['And', 'the', 'password', 'was', 'thepassionatecerealkiller', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'is', 'what', 'happens', 'when', 'my', 'soster', 'gets', 'to', 'choose', 'the', 'WiFi', 'name', 'and', 'password', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Shoulve', 'patent', 'it', 'Nice', 'shooting', ',', 'Tex', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
['!'],['O']
['!'],['O']
"['I', 'live', 'in', 'Wellington', 'so', 'funny', 'u', 'had', 'to', 'pay', 'so', 'much', 'and', 'i', 'got', 'a', 'card', 'to', 'bring', '4', 'ppl', 'with', 'me', 'FOR', 'FREE', 'Wizards', 'just', 'channeled', 'their', 'inner', 'GS', 'to', 'blow', 'a', '20', 'point', 'lead', 'Hats', 'off', 'to', 'Nick', 'for', 'his', 'love', 'frequency', ',', 'positivity', 'and', 'truth', '.']","['O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['messi', 'watching', 'this', 'game', 'tv', '.']","['B-person', 'O', 'O', 'O', 'O', 'O']"
"['We', 'are', 'proud', 'of', 'you', 'Grace', 'gal', 'Mahary', '.']","['O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O']"
"['Eww', 'you', 'guys', 'are', 'gross', 'you', 'made', 'me', 'throw', 'up', '""', 'Do', 'you', 'think', 'that', 'teens', 'thought', 'Chik-', 'Fil-', 'A', 'was', 'lit', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'I-corporation', 'I-corporation', 'O', 'O', 'O']"
"['""', '""', 'I', 'mean', ',', 'it', 'depends', 'on', 'how', 'lit', 'homophobia', 'is', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'Funny', 'video', '!']","['O', 'O', 'O', 'O']"
"['Jamaica', 'is', 'a', 'stupid', 'idiot', '#', 'Colbert', '4', 'President', 'Dis', 'video', 'have', 'mi', 'cracking', 'up', '.']","['B-location', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['You', 'will', 'forever', 'be', 'my', 'President', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['So', 'inspiring', '!']","['O', 'O', 'O']"
"['He', 'looks', 'like', 'raggedydan', 'When', 'you', 'get', 'a', 'D-', 'Teammate', 'Grade', 'after', 'playing', '3', 'minutes', 'in', 'pro', 'am', '.']","['O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O']"
"['I', ""'"", 'm', 'Jaime', 'Rivera', 'and', 'you', ""'"", 're', 'watching', 'Disnney', 'Channel', 'that', 'EL', 'is', 'disturbing', 'me', '!']","['O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Where', 'is', 'smit', '7', 'y', ""'"", 's', 'face', '?']","['O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O']"
"['Snap', ',', 'who', 'is', 'that', 'lady', 'at', '7', ':', '07', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hot', '.']","['O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['And', 'no', ',', 'I', ""'"", 'm', 'not', 'talking', 'about', 'the', 'two', 'fat', 'chicks', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['James', 'looks', 'like', 'an', 'even', 'sexier', 'Wolverine', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
"['My', 'boy', 'iDubbbz', 'the', 'biggest', 'ship', 'on', 'Earth', 'is', 'the', 'Queen', 'Mary', '2', 'and', 'plz', 'go', 'on', 'it', 'please', '😀', '😀', 'I', 'like', 'this', 'version', 'of', 'hanamura', 'You', 'Sholder', 'not', 'swear', 'IT', 'IS', 'BAD', 'Elba', 'is', 'such', 'a', 'badass', 'dude', 'Preston', 'Do', 'an', 'overwatch', 'hide', 'n', 'seek', 'bwoi', 'Shakera', 'thick', 'nuh', 'raas', '.']","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['I', 'woulda', 'Nyam', 'out', 'har', 'sweet', 'phat', 'Pussy', 'Left', ',', 'Right', '&', 'Centa', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
['!'],['O']
['!'],['O']
['!'],['O']
['!'],['O']
['!'],['O']
"['Does', 'anyone', 'know', 'the', 'song', 'at', 'the', 'end', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['soooo', '.']","['O', 'O']"
['.'],['O']
['.'],['O']
"['cricket', 'is', 'only', 'thing', 'i', 'could', 'relate', 'to', 'coz', 'i', 'm', 'poor', 'and', 'i', 'dont', 'even', 'give', 'a', 'fuck', 'bout', 'cricket', 'but', 'i', 'know', 'it', 'as', 'i', 'live', 'in', 'india', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O']"
['.'],['O']
['.'],['O']
"['likes', 'for', 'the', 'poor', 'brown', 'guy', 'here', 'Heh', 'heh', ',', 'she', 'said', '""', 'pulling', 'a', 'load', '""', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['De', 'tailler', 'must', 'know', 'about', 'it', '.']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O']"
"['Big', 'time', 'Thief', '.']","['O', 'O', 'O', 'O']"
"['My', 'dream', 'is', 'to', 'become', 'a', 'successful', 'female', 'hip', 'hop', 'artist', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['CHECK', 'MY', 'CHANNEL', '!']","['O', 'O', 'O', 'O']"
['!'],['O']
"['Feel', 'free', 'to', 'leave', 'feedback', ',', 'constructive', 'criticism', ',', 'or', 'let', 'me', 'know', 'anything', 'I', 'can', 'do', 'to', 'get', 'better', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Does', 'it', 'work', 'on', '5', 'c', 'Does', 'anyone', 'know', 'the', 'brand', 'n', 'style', 'name', 'of', 'the', 'sunglasses', 'chloe', 'is', 'wearing', 'at', '3', ':', '33', 'Momentz', 'we', 'have', 'to', 'cherish', 'man', 'Fake', 'as', 'fuck', 'man', 'this', 'acting', 'is', 'fucking', 'shit', 'Princeboss', 'is', 'my', 'username', 'do', 'it', 'pls', 'So', ',', 'Hela', 'wants', 'them', 'not', 'to', 'have', 'a', 'dark', 'lord', ',', 'but', 'to', 'have', 'a', 'queen', ',', 'not', 'dark', 'but', 'beautiful', 'and', 'terrible', 'as', 'the', 'dawn', '.']","['O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Treacherous', 'as', 'the', 'sea', '.']","['O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Stronger', 'than', 'the', 'foundations', 'of', 'the', 'earth', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Apple', 'products', 'should', 'be', 'cheap', 'af', ',', 'if', 'this', 'is', 'what', 'workers', 'get', 'paid', '&', 'endure', ',', 'but', 'instead', 'they', ""'"", 're', 'expensive', 'Sensacional', '!']","['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
"['But', ',', 'what', 'happens', 'later', 'when', 'the', 'phone', 'is', 'turned', 'on', 'again', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['WE', 'DID', 'IT', 'REDDIT', '!']","['O', 'O', 'O', 'B-group', 'O']"
"['When', 'he', 'was', 'being', 'chased', 'by', 'the', 'black', 'goop', 'things', 'I', 'was', 'sitting', 'there', 'like', ',', '""', 'daSI', 'RUN', 'RUN', 'RUN', '""', 'It', ""'"", 's', 'from', 'a', 'K-Pop', 'band', 'called', 'BTS', 'you', 'should', 'check', 'them', 'out', 'ok', 'then', ""'"", 'll', 'be', 'going', 'https', ':', '/', '/', 'wn', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['nr', '/', 'hSrCCL', '<', '<', '<', 'MASSIVE', 'GIVEAWAY', 'They', 'would', 'have', 'to', 'pay', 'me', 'to', 'climb', 'that', 'many', 'steps', 'just', 'to', 'get', 'a', 'view', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Me', '+', 'helicopter', '=', 'Much', 'easier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Rabbits', 'die', 'everyday', 'B', '.']","['O', 'O', 'O', 'B-person', 'I-person']"
"['(', 'While', 'munching', 'on', 'chips', ')', '-', 'Camron', 'Captions', '1', ':', '09', 'They', 'should', 'do', 'R', '8', 'vs', 'Challenger', 'too', 'be', 'honest', 'watching', 'adam', 'win', 'is', 'boring', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'B-product', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['they', 'should', 'fuck', 'him', 'more', 'hi', 'my', 'name', 'is', 'Ruben', 'to', 'like', 'from', 'Ruben', 'from', 'Minecraft', 'story', 'mode', 'Try', 'conditioner', 'for', 'shaving', 'your', 'legs', ',', 'it', 'works', 'amazing', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'B-person', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'think', 'it', ""'"", 's', 'so', 'expensive', 'to', 'shave', 'with', 'this', 'oil', ',', 'I', 'love', 'to', 'use', 'it', 'on', 'my', 'body', 'instead', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Wow', 'by', 'the', 'way', 'where', 'is', 'your', 'vanity', '/', 'dressing', 'table', 'from', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['the', 'only', 'thing', 'Finland', 'has', 'is', 'poets', 'of', 'the', 'fall', '.']","['O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['healthier', 'fried', 'chicken', ',', 'clean', 'coal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['are', 'we', 'blind', 'or', 'ignorant', 'watching', 'Lucas', ""'"", 'shiny', 'greasy', 'fingers', 'and', 'still', 'think', 'that', ""'"", 's', 'healthier', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Mom', ',', 'Dad', ',', 'All', 'I', 'See', 'is', 'Concrete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['Are', 'We', 'Almost', 'There', 'Yet', '?']","['O', 'O', 'O', 'O', 'O', 'O']"
"['So', 'Shima', 'still', 'is', 'n', ""'"", 't', 'back', ',', 'huh', '?']","['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['Please', 'Shima', 'come', 'back', 'you', 'are', 'my', 'favorite', '!']","['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[':', '(', 'Why', 'do', 'I', 'get', 'the', 'feeling', 'this', 'could', 'have', 'been', 'an', 'advert', 'in', 'Grand', 'Theft', 'Auto', 'its', 'hilarious', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O']"
"['XD', 'Great', 'video', 'Shan', '!']","['O', 'O', 'O', 'B-person', 'O']"
"['Hope', 'you', 'and', 'Hamish', 'had', 'a', 'really', 'great', 'time', 'on', 'your', 'trip', ',', 'I', ""'"", 'm', 'so', 'sad', ',', 'I', 'did', 'not', 'make', 'make', 'the', 'meet', 'and', 'greet', 'as', 'I', 'was', 'out', 'of', 'town', '.']","['O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Looks', 'like', 'you', 'guys', 'had', 'so', 'much', 'fun', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Love', 'ya', 'both', '!']","['O', 'O', 'O', 'O']"
['!'],['O']
"['Willie', 'Nelson', 'will', 'always', 'be', 'a', 'true', 'legend', 'and', 'still', 'making', 'good', 'music', 'at', '84', 'years', 'old', 'That', 'Eclipse', 'Spyder', 'thoo', '.']","['B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O']"
['.'],['O']
"['love', 'at', 'first', 'sight', '!']","['O', 'O', 'O', 'O', 'O']"
['!'],['O']
"['Themba', 'is', 'obsessed', 'Why', 'are', 'you', 'not', 'talking', 'about', 'Trump', 'using', 'the', 'White', 'power', 'hand', 'signal', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['#', 'NotOk', 'Narrator', 'Sucks', '!']","['O', 'O', 'O', 'O', 'O']"
"['Are', 'they', 'teaching', 'female', 'anchors', 'to', 'sound', 'like', 'valley', 'girls', 'now', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Wait', 'simon', 'wears', 'glasses', '?']","['O', 'B-person', 'O', 'O', 'O']"
['?'],['O']
['?'],['O']
['?'],['O']
"['When', 'you', 'order', 'deconstructed', 'car', 'at', 'the', 'MCM', 'restaurant', 'Jaime', 'please', 'i', 'need', 'help', ',', 'google', 'pixel', 'or', 'galaxy', 's', '8', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'B-product', 'I-product', 'I-product', 'O']"
"['i', 'trust', 'you', '.']","['O', 'O', 'O', 'O']"
"['So', 'fitting', 'that', 'Bodega', 'was', 'a', 'shit', 'detective', '.']","['O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']"
"['Plus', '?']","['O', 'O']"
"['Seriously', '?']","['O', 'O']"
"['Jesus', 'you', 'ca', 'n', ""'"", 't', 'even', 'think', 'of', 'a', 'name', 'by', 'yourselves', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['it', ""'"", 's', 'show', 'time', 'all', 'guys', 'wait', 'for', 'it', 'to', 'bang', 'jai', 'rebelism', '#', 'Jai', 'prabhas', 'Proof', 'that', 'Travis', 'scott', 'sold', 'his', 'soul', 'to', 'the', 'devil', '😂', '😂', 'Nice', 'of', 'the', 'jerk', 'who', 'cross', 'checked', 'him', 'upside', 'the', 'head', 'to', 'come', 'see', 'if', 'he', ""'"", 's', 'ok', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'B-person', 'I-person', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Was', 'n', ""'"", 't', 'it', '?']","['O', 'O', 'O', 'O', 'O', 'O']"
"['OMFG', 'WHY', 'THIS', 'SHIT', 'IS', '1', 'S', 'IN', 'TRENDING', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['OMFG', 'REMOVE', 'THIS', 'SHIT', '!']","['O', 'O', 'O', 'O', 'O']"
"['Bruh', 'she', 'was', 'slick', 'mad', 'I', 'would', 'be', 'mad', 'Lol', '😂', '😂', '😂', '😂', '😂', '😂', '😂', '5', ':', '07', '""', 'chill', '""', 'i', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
